Name,Type,Adress,Country,Description,Investment Focus,Target Countries ,Number of Investments,Stage Focus,Ticket size,Pitch process,Backers or partners,Founders,Founder tip,Number of Funds,Year founded,Active since,CB Rank,Open rate,Lead,Legal Status,Portfolio highlights,Phone Number,Contact Email,Website,LinkedIn,Other social Links,Target_Countries_List,profile_text,Target_Countries_Mapped
myrad holding,VC,"P.O. Box 342, Postal Code 133, Al Khuwair, Muscat, Oman",Oman,"For those beyond pure seed funding and looking towards that all-important Series A, Myrad Holding is one of the rare names to emerge in Oman with a focus on mature tech. With a track record including eMushrif in the ICT and info services arena, they fill a tricky gap—helping scale-ups get over the first revenue hump when most angels have gone home and late-stage VCs haven’t shown up yet. Founders in growth mode, keep this one on your list.",Manufacturing & Industry, Oman,1,Series A,,,,"Hilal Al Busaidi, Yasser Al Barami","If you want to acheive that “Series A ready” status, get crystal clear on traction and market fit before you book a meeting.",,,,,,,,eMushrif,,,,,,['Oman'],"Focus areas: Information Services, ITInformation Services, Information Technology, Information and Communications Technology (ICT). Stage focus: Series A. For those beyond pure seed funding and looking towards that all-important Series A, Myrad Holding is one of the rare names to emerge in Oman with a focus on mature tech. With a track record including eMushrif in the ICT and info services arena, they fill a tricky gap—helping scale-ups get over the first revenue hump when most angels have gone home and late-stage VCs haven’t shown up yet. Founders in growth mode, keep this one on your list.. Country: Oman. Target countries: Oman. Portfolio: eMushrif",Oman
lucrative ventures,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Lucrative Ventures operates as an Investment Firm.,"Software / SaaS, Fashion & Lifestyle",Saudi Arabia,,Seed,,,,,,,,,,,,,"Glamera â€” Glamera B2B2C: SaaS platform to power beauty salons, spa, Gym and barber shops, to optimize sales, booking, marketing, inventory and HR. Glamera White Label: Every service provider can create his own website, to help his customer in pre-booking his services. Glamera B2C: Mobile application for end user to book beauty and wellness appointment.",,,,,,['Saudi Arabia'],"Focus areas: B2C, SaaS, Beauty. Stage focus: Seed. Lucrative Ventures operates as an Investment Firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Glamera â€” Glamera B2B2C: SaaS platform to power beauty salons, spa, Gym and barber shops, to optimize sales, booking, marketing, inventory and HR. Glamera White Label: Every service provider can create his own website, to help his customer in pre-booking his services. Glamera B2C: Mobile application for end user to book beauty and wellness appointment.",Saudi Arabia
dual gate investment holding,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Dual Gate Investment Holding,"Software / SaaS, Fashion & Lifestyle",Saudi Arabia,,Seed,,,,,,,,,,,,,"Glamera â€” Glamera B2B2C: SaaS platform to power beauty salons, spa, Gym and barber shops, to optimize sales, booking, marketing, inventory and HR. Glamera White Label: Every service provider can create his own website, to help his customer in pre-booking his services. Glamera B2C: Mobile application for end user to book beauty and wellness appointment.",,,,,,['Saudi Arabia'],"Focus areas: B2C, SaaS, Beauty. Stage focus: Seed. Dual Gate Investment Holding. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Glamera â€” Glamera B2B2C: SaaS platform to power beauty salons, spa, Gym and barber shops, to optimize sales, booking, marketing, inventory and HR. Glamera White Label: Every service provider can create his own website, to help his customer in pre-booking his services. Glamera B2C: Mobile application for end user to book beauty and wellness appointment.",Saudi Arabia
salem balhmar real estate,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Salem Balhmar Real Estate,Real Estate & Construction,Saudi Arabia,,Seed,,,,,,,,,,,,,"Deal App â€” Deal App operates as an real estate app. Deal App designs an intricate digital solution by adopting the 'request-oriented business model', in which property seekers submit their requests through the app to receive appropriate offers directly from the active agents in the neighborhoods they are targeting.",,,,,,['Saudi Arabia'],"Focus areas: Real Estate. Stage focus: Seed. Salem Balhmar Real Estate. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Deal App â€” Deal App operates as an real estate app. Deal App designs an intricate digital solution by adopting the 'request-oriented business model', in which property seekers submit their requests through the app to receive appropriate offers directly from the active agents in the neighborhoods they are targeting.",Saudi Arabia
kenayah co.,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Kenayah Co.,Real Estate & Construction,Saudi Arabia,,Seed,,,,,,,,,,,,,"Deal App â€” Deal App operates as an real estate app. Deal App designs an intricate digital solution by adopting the 'request-oriented business model', in which property seekers submit their requests through the app to receive appropriate offers directly from the active agents in the neighborhoods they are targeting.",,,,,,['Saudi Arabia'],"Focus areas: Real Estate. Stage focus: Seed. Kenayah Co.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Deal App â€” Deal App operates as an real estate app. Deal App designs an intricate digital solution by adopting the 'request-oriented business model', in which property seekers submit their requests through the app to receive appropriate offers directly from the active agents in the neighborhoods they are targeting.",Saudi Arabia
wallan group,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Wallan Group provides quality products and services across diversified industries portfolio.,"FinTech, Real Estate & Construction",Saudi Arabia,,"Seed, Pre-Seed",,,,,,,,,,,,,"EdfaPay â€” Innovative and modern payment solutions tailored to suit the needs of businesses of all sizes and types, allowing for effortless growth management through a\nDeal App â€” Deal App operates as an real estate app. Deal App designs an intricate digital solution by adopting the 'request-oriented business model', in which property seekers submit their requests through the app to receive appropriate offers directly from the active agents in the neighborhoods they are targeting.",,,,,,['Saudi Arabia'],"Focus areas: Payments, Real Estate, Financial Services. Stage focus: Seed, Pre-Seed. Wallan Group provides quality products and services across diversified industries portfolio.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: EdfaPay â€” Innovative and modern payment solutions tailored to suit the needs of businesses of all sizes and types, allowing for effortless growth management through a\nDeal App â€” Deal App operates as an real estate app. Deal App designs an intricate digital solution by adopting the 'request-oriented business model', in which property seekers submit their requests through the app to receive appropriate offers directly from the active agents in the neighborhoods they are targeting.",Saudi Arabia
bunat ventures,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Bunat Ventures is a venture capital firm.,"Software / SaaS, Real Estate & Construction","Saudi Arabia, United Arab Emirates",,"Seed, Pre-Seed, Series B",,,,,,,,,,,,,"Wadaie â€” Wadaie is a fintech startup helps customers to earn returns on Shariah-compliant time deposits without opening new accounts at other banks.\nOmniful â€” Omniful offers a modular platform to replace legacy systems, simplifying supply chain, retail, and logistics management.\nRize â€” Rize is a PropTech platform transforming rental payments for both residential and commercial properties. With its â€œRent Now, Pay Laterâ€_x009d_ service, Rize allows tenants to split their annual rent into manageable installments, which benefits both renters, who can better manage their rental budgets, and landlords, who can reach a larger consumer base andreceive their yearly rental payment in advance. By enhancing affordability and flexibility, Rize inherently boosts occupancy rates across the rental market.",,,,,,"['Saudi Arabia', 'United Arab Emirates']","Focus areas: Software, SaaS, Residential. Stage focus: Seed, Pre-Seed, Series B. Bunat Ventures is a venture capital firm.. Country: Saudi Arabia. Target countries: Saudi Arabia, United Arab Emirates. Portfolio: Wadaie â€” Wadaie is a fintech startup helps customers to earn returns on Shariah-compliant time deposits without opening new accounts at other banks.\nOmniful â€” Omniful offers a modular platform to replace legacy systems, simplifying supply chain, retail, and logistics management.\nRize â€” Rize is a PropTech platform transforming rental payments for both residential and commercial properties. With its â€œRent Now, Pay Laterâ€_x009d_ service, Rize allows tenants to split their annual rent into manageable installments, which benefits both renters, who can better manage their rental budgets, and landlords, who can reach a larger consumer base andreceive their yearly rental payment in advance. By enhancing affordability and flexibility, Rize inherently boosts occupancy rates across the rental market.","United Arab Emirates, Saudi Arabia"
dar wa emaar development and investment company,VC Fund,"Riyadh, Ar Riyad, Saudi Arabia",Saudi Arabia,Dar wa Emaar Development and Investment Company,"E-Commerce & Retail, Real Estate & Construction",Saudi Arabia,,Seed,,,,,,,,,,,,,"B8ak â€” They have carefully selected eØ§electrical, plumbing, AC and IT maintenance services for your home. You will also be able to provide us with your request details. Always remember that you can order custom services from the app .",,,,,,['Saudi Arabia'],"Focus areas: Internet, Home Improvement. Stage focus: Seed. Dar wa Emaar Development and Investment Company. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: B8ak â€” They have carefully selected eØ§electrical, plumbing, AC and IT maintenance services for your home. You will also be able to provide us with your request details. Always remember that you can order custom services from the app .",Saudi Arabia
mlm investment company,VC Fund,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,MLM Investment company operates as an investment firm.,"Sustainability / Climate, Logistics & Supply Chain",Saudi Arabia,,Seed,,,,,,,,,,,,,Moya App â€” Moya App operates as an online water-delivery network. Moya App is both a website and a mobile app specializing in satisfying all your drinking water needs.,,,,,,['Saudi Arabia'],"Focus areas: Water, Delivery. Stage focus: Seed. MLM Investment company operates as an investment firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Moya App â€” Moya App operates as an online water-delivery network. Moya App is both a website and a mobile app specializing in satisfying all your drinking water needs.",Saudi Arabia
kanoo ventures,VC Fund,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Kanoo Ventures is an investment firm.,Energy & CleanTech,Saudi Arabia,,Series A,,,,,,,,,,,,,"Iyris â€” Iyris Advanced Desert Greenhouses is the Middle East's premier agriculture glazing specialist, providing tailored solutions for increased desert crop output. iyris collaborates closely with the glass industry's greatest companies to provide ultra-clear glazing with the most advanced anti-reflective and light diffusive coatings.â€‹",,,,,,['Saudi Arabia'],"Focus areas: Renewable Energy. Stage focus: Series A. Kanoo Ventures is an investment firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: Iyris â€” Iyris Advanced Desert Greenhouses is the Middle East's premier agriculture glazing specialist, providing tailored solutions for increased desert crop output. iyris collaborates closely with the glass industry's greatest companies to provide ultra-clear glazing with the most advanced anti-reflective and light diffusive coatings.â€‹",Saudi Arabia
mine,VC Fund,"Dhahran, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Mine is an investment firm.,"FinTech, Software / SaaS, Advertising / Digital Marketing",Saudi Arabia,,Seed,,,,,,,,,,,,,CashIn â€” Cashin to Lead the Digital Transformation in Petrol Stations!,,,,,,['Saudi Arabia'],"Focus areas: Apps, Sales, Payments. Stage focus: Seed. Mine is an investment firm.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: CashIn â€” Cashin to Lead the Digital Transformation in Petrol Stations!",Saudi Arabia
altoukhi family office,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Altoukhi Family Office operates as a family investment office.,Food & Beverage / AgriTech,Saudi Arabia,,Seed,,,,,,,,,,,,,NOMU Group â€” Reinventing Groceries for Families & Small F&B Pros,,,,,,['Saudi Arabia'],"Focus areas: Grocery, Food and Beverage. Stage focus: Seed. Altoukhi Family Office operates as a family investment office.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: NOMU Group â€” Reinventing Groceries for Families & Small F&B Pros",Saudi Arabia
bakr family office,VC Fund,"Dammam, Ash Sharqiyah, Saudi Arabia",Saudi Arabia,Bakr Family Office operates as a family investment office.,Food & Beverage / AgriTech,Saudi Arabia,,Seed,,,,,,,,,,,,,NOMU Group â€” Reinventing Groceries for Families & Small F&B Pros,,,,,,['Saudi Arabia'],"Focus areas: Grocery, Food and Beverage. Stage focus: Seed. Bakr Family Office operates as a family investment office.. Country: Saudi Arabia. Target countries: Saudi Arabia. Portfolio: NOMU Group â€” Reinventing Groceries for Families & Small F&B Pros",Saudi Arabia
